gene_id,gene_name,transcript_id,transcript_TPM,contains_PTC,gene_length,mean_intron_length,log_kdeg_DMSO,Codon_optimality,fivepUTR_GC_content,threepUTR_GC_content,CDS_GC_content,fivepUTR_length,threepUTR_length,CDS_length,transcript_length,first_exon_length,longest_intron_length,total_exons,CDS_DRACH_count,fiveputr_DRACH_count,threeputr_DRACH_count,CDS_miRNAseed_count,fiveputr_miRNAseed_count,threeputr_miRNAseed_count
ENSG00000000003.16,TSPAN6,MSTRG.13463.3,1.38666666666667,TRUE,9419,787.714285714286,-1.56695430795539,0.7512989766111453,0.5825977301387137,0.37263078089461715,0.3818565400843882,793,2638,474,3905,616,1618,8,6,4,22,0,0,0
ENSG00000000419.14,DPM1,MSTRG.8155.3,1.66333333333333,FALSE,23696,2503.11111111111,-2.71957576211835,0.7282232220375504,0.5609756097560976,0.2585551330798479,0.42592592592592593,41,263,864,1168,202,6523,10,5,0,0,0,0,0
ENSG00000001036.14,FUCA2,MSTRG.11206.1,54.9366666666667,FALSE,16909,2420.66666666667,-3.12290726422316,0.7591585866747842,0.7209302325581395,0.35083798882681566,0.4829059829059829,86,895,1404,2385,310,4434,7,16,0,8,1,0,0
ENSG00000001461.17,NIPAL3,MSTRG.201.2,4.63,FALSE,50537,4438.27272727273,-2.35308349618432,0.7919199517890745,0.5666666666666667,0.42570281124497994,0.52213188798554655,360,249,1107,1716,103,20531,12,14,0,1,0,0,0
ENSG00000001561.7,ENPP4,MSTRG.10925.1,7.47666666666667,FALSE,16605,4018.66666666667,-1.04056187995514,0.7283463422702481,0.6330935251798561,0.3001968503937008,0.38472834067547723,139,3048,1362,4549,106,9361,4,19,2,32,0,0,0
ENSG00000001630.18,CYP51A1,MSTRG.11870.2,6.87,FALSE,22651,2184.77777777778,-1.46696068291741,0.7329844472468224,0.5325670498084292,0.3611111111111111,0.41069958847736626,261,1512,1215,2988,138,4504,10,11,0,8,0,1,0
ENSG00000001631.17,KRIT1,MSTRG.11872.1,2.27666666666667,FALSE,49256,2654.875,-0.408802177010569,0.6882180283448662,0.6115879828326181,0.3667398195562058,0.38218000904568067,466,4101,2211,6778,464,11771,17,18,4,37,0,1,1
ENSG00000001631.17,KRIT1,MSTRG.11872.2,9.80333333333333,FALSE,46008,2356.83333333333,-1.79994317294615,0.6882180283448662,0.43378119001919385,0.35756154747948415,0.38218000904568067,521,853,2211,3585,101,11771,19,18,2,8,0,1,1
ENSG00000002586.20,CD99,MSTRG.13235.2,80.61,FALSE,50015,5431.77777777778,-3.21343615917916,0.7683901125174065,0.7424242424242424,0.4752475247524752,0.557347670250896,66,505,558,1129,133,22994,10,7,0,3,0,1,0
ENSG00000002586.20,CD99,MSTRG.13235.3,4.52333333333333,FALSE,50015,6116.75,-2.30517540449732,0.760834560102104,0.7424242424242424,0.4752475247524752,0.5666666666666667,66,505,510,1081,133,22994,9,6,0,3,0,1,0
ENSG00000003056.8,M6PR,MSTRG.2576.1,49.8466666666667,FALSE,8814,1139.16666666667,-1.96657479644529,0.7668903361618304,0.6415094339622641,0.4158215010141988,0.49760191846522783,159,986,834,1979,158,3082,7,11,1,4,0,0,0
ENSG00000003096.15,KLHL13,MSTRG.13526.1,2.43,FALSE,218996,35955,-2.0034973063831,0.7550655787947197,0.6706948640483383,0.33394327538883806,0.44462540716612375,331,1093,1842,3266,303,170932,7,16,3,15,0,0,0
ENSG00000003096.15,KLHL13,MSTRG.13526.2,2.25,FALSE,218996,35975.3333333333,-1.64315511700466,0.7558443618800444,0.6016949152542372,0.33394327538883806,0.4440771349862259,236,1093,1815,3144,181,171054,7,16,2,15,0,0,0
ENSG00000003249.15,DBNDD1,MSTRG.4927.2,3.28666666666667,FALSE,15020,4315.66666666667,-1.96800509930965,0.8239760523066161,0.6746031746031746,0.5990437158469946,0.6623376623376623,378,1464,231,2073,163,10297,4,3,1,8,1,3,2
