gene_id,gene_name,transcript_id,transcript_TPM,contains_PTC,gene_length,mean_intron_length,log_kdeg_DMSO,Codon_optimality,fivepUTR_GC_content,threepUTR_GC_content,CDS_GC_content,fivepUTR_length,threepUTR_length,CDS_length,first_exon_length,longest_intron_length,total_exons,CDS_DRACH_count,fiveputr_DRACH_count,threeputr_DRACH_count,CDS_miRNAseed_count,fiveputr_miRNAseed_count,threeputr_miRNAseed_count
ENSG00000100814.19,CCNB1IP1,MSTRG.3420.4,3.26,FALSE,21910,4128,-0.990470243382685,0.746180704022932,0.4233576642335766,0.4722222222222222,0.4485294117647059,274,180,816,26,8978,6,7,1,2,0,0,0
ENSG00000101040.20,ZMYND8,MSTRG.8132.2,3.73333333333333,FALSE,147385,6470.13636363636,-0.711028467042323,0.7898406103770838,0.27586206896551724,0.4094052558782849,0.5161199887860948,29,1446,3567,43,37651,23,36,2,9,2,0,0
ENSG00000165632.9,TAF3,MSTRG.1351.1,7.54333333333333,FALSE,197916,32208.6666666667,-0.54674902667164,0.7855567075414335,0.719626168224299,0.36927710843373496,0.4978494623655914,214,1660,2790,380,139359,7,13,0,13,1,0,0
ENSG00000150756.14,ATPSCKMT,MSTRG.9905.1,4.63666666666667,FALSE,24382,5432.75,-1.35563561384676,0.6930125867588685,0.5333333333333333,0.38883143743536713,0.48148148148148145,15,1934,702,31,10501,5,3,0,15,0,0,0
ENSG00000182774.13,RPS17,MSTRG.4230.1,46.9766666666667,FALSE,3812,805,-3.46832922945633,0.7857712896566196,0.631578947368421,0.3137254901960784,0.5098039215686274,133,51,408,136,1424,5,4,2,1,0,1,0
ENSG00000104852.15,SNRNP70,MSTRG.6751.1,93.3933333333333,FALSE,23154,2387,-2.33244729229797,0.8425895621901814,0.6989795918367347,0.5031055900621118,0.6400304414003044,196,161,1314,186,7906,10,16,1,1,1,1,1
ENSG00000088970.16,KIZ,MSTRG.8006.1,5.02,FALSE,120541,9869.91666666667,-1.28294348591815,0.7438948214195583,0.7058823529411765,0.30434782608695654,0.43372898120672604,34,46,2022,123,42331,13,24,0,1,1,0,0
ENSG00000157954.15,WIPI2,MSTRG.11543.3,3.90333333333333,FALSE,43625,3568.18181818182,-1.26291184860111,0.8080011921589323,0.7941176470588235,0.5143449706187349,0.554773082942097,204,2893,1278,278,14876,12,19,3,17,0,1,2
ENSG00000107164.17,FUBP3,MSTRG.13099.1,22.1433333333333,FALSE,58776,3090.16666666667,-2.43893228757007,0.7888633835479355,0.8173076923076923,0.3,0.5474112856311809,104,1330,1719,188,15718,19,14,0,16,2,0,1
ENSG00000198373.13,WWP2,MSTRG.4797.1,6.87,FALSE,179408,7605.26086956522,-1.77746657309826,0.8356016701633922,0.6533333333333333,0.5925514174541412,0.5583620359739763,75,1799,2613,60,40830,24,35,0,8,1,0,2
ENSG00000198431.18,TXNRD1,MSTRG.2966.4,3.01333333333333,TRUE,63276,4579.92307692308,-1.32610130374782,0.7437482719279881,0.5726495726495726,0.40274841437632136,0.4504685408299866,351,1892,1494,315,23943,14,13,2,14,0,0,0
ENSG00000197111.16,PCBP2,MSTRG.2749.5,12.2833333333333,FALSE,28693,1849.5,-2.70768433243132,0.7733178133780889,0.7285714285714285,0.41050295857988167,0.5182149362477231,350,1352,1098,275,7598,15,12,3,10,1,2,1
ENSG00000173409.14,ARV1,MSTRG.1253.1,18.5033333333333,FALSE,21475,4042.4,-1.74620959107539,0.7568112175181648,0.4166666666666667,0.3632183908045977,0.43995098039215685,12,435,816,186,9040,6,10,0,5,0,0,0
ENSG00000118058.25,KMT2A,MSTRG.2416.1,10.9766666666667,FALSE,90116,2107.14285714286,-0.769180589347169,0.7701681671929621,0.4902534113060429,0.4369098712446352,0.472940074906367,1026,4660,10680,228,31830,36,112,7,46,4,0,2
ENSG00000135315.12,CEP162,MSTRG.11015.1,2.95333333333333,FALSE,103394,3778.42307692308,-0.91666977818088,0.7031057253929086,0.4715447154471545,0.33658536585365856,0.3744064577397911,123,820,4212,64,20174,27,31,2,8,0,0,0
ENSG00000162396.6,PARS2,MSTRG.468.1,4.22666666666667,FALSE,7626,5270,0.427438683084723,0.828768583859546,0.7391304347826086,0.4796650717703349,0.5630252100840336,92,836,1428,63,5270,2,18,0,11,1,0,1
ENSG00000102908.23,NFAT5,MSTRG.4795.3,6.37,FALSE,138689,8957.14285714286,-0.743064621293007,0.7306262174509355,0.7083333333333334,0.34854871733108517,0.447741935483871,336,8303,4650,409,57854,15,81,1,68,0,2,4
ENSG00000121481.11,RNF2,MSTRG.1052.1,10.8933333333333,FALSE,56338,8939.83333333333,-0.857477453722754,0.7300777752458568,0.7340425531914894,0.3124215809284818,0.41740850642927796,94,1594,1011,92,41902,7,11,0,10,0,0,1
ENSG00000197694.19,SPTAN1,MSTRG.13069.1,27.3933333333333,FALSE,81076,1356.96296296296,-2.27745611160949,0.8131647326465862,0.7256637168141593,0.5213414634146342,0.5320016306563392,113,328,7359,110,14041,55,76,0,4,3,0,2
ENSG00000155621.15,C9orf85,MSTRG.12832.1,2.04333333333333,FALSE,61819,20211.3333333333,-0.359512275635033,0.7453699600482432,0.53125,0.4016260162601626,0.35864978902953587,96,615,474,198,35169,4,2,1,7,0,0,0
ENSG00000184208.12,C22orf46P,MSTRG.8627.1,2.96666666666667,FALSE,9167,1394.66666666667,-1.20891043579688,0.7749026419496297,0.5517909002904162,0.5285245901639344,0.4855555555555556,1033,3050,900,335,2619,4,2,6,13,0,2,3
ENSG00000156515.25,HK1,MSTRG.1542.2,37.68,FALSE,83036,4672.58823529412,-2.49874167486138,0.8147759238050878,0.801980198019802,0.5394912985274432,0.5334059549745824,101,747,2754,164,24816,18,35,3,8,1,0,1
ENSG00000164327.14,RICTOR,MSTRG.9961.1,7.34,FALSE,136379,3431,-0.550099290592699,0.6916971895993526,0.45454545454545453,0.31730095727293955,0.40550029256875364,22,4283,5127,71,52974,38,51,1,38,0,0,1
ENSG00000198879.13,SFMBT2,MSTRG.1348.2,3.91666666666667,TRUE,43980,10691,0.454885767626983,0.7673822322567733,0.6666666666666666,0.4178217821782178,0.522633744855967,225,505,486,174,28911,5,5,1,4,1,1,0
ENSG00000104064.18,GABPB1,MSTRG.4038.2,3.62666666666667,FALSE,77964,9395.625,-0.769410021831427,0.6908833291434314,0.6728971962616822,0.3228346456692913,0.43013468013468015,214,1397,1188,214,45186,9,14,1,8,0,1,1
ENSG00000131051.24,RBM39,MSTRG.8073.5,7.15333333333333,FALSE,38654,2394.66666666667,-0.149049799162607,0.7338328603376841,0.6066066066066066,0.32837528604118993,0.43287491814014406,333,874,1527,320,6832,16,19,2,5,0,0,0
ENSG00000101361.17,NOP56,MSTRG.7939.2,54.1,FALSE,5762,349.909090909091,-1.59115070198277,0.7993608311658273,0.7241379310344828,0.47474747474747475,0.5159663865546219,29,99,1785,32,1020,12,10,0,1,0,0,0
ENSG00000160691.19,SHC1,MSTRG.866.2,3.16333333333333,FALSE,12079,751.666666666667,-1.50957018410877,0.8055293431091817,0.6212121212121212,0.5102990033222591,0.590014064697609,132,1505,1422,129,4048,13,13,1,14,2,0,1
ENSG00000213619.11,NDUFS3,MSTRG.2073.1,34.9566666666667,FALSE,5489,765.833333333333,-2.19968414090092,0.771776778116694,0.4444444444444444,0.43209876543209874,0.549685534591195,18,81,795,85,1845,7,15,0,0,0,0,0
ENSG00000163378.14,EOGT,MSTRG.9045.1,2.83,FALSE,38460,2001,-1.43760790875179,0.746861332208308,0.575107296137339,0.35227747597158376,0.42424242424242425,466,2393,1584,111,8993,18,23,2,24,1,0,2
ENSG00000182944.18,EWSR1,MSTRG.8498.3,2.76333333333333,TRUE,32254,1992.8,0.153753758152338,0.8015587130846781,0.5942028985507246,0.5061255742725881,0.5582573454913881,69,1306,987,82,4365,16,13,0,10,0,0,0
ENSG00000104824.18,HNRNPL,MSTRG.6561.2,217.536666666667,FALSE,15971,1172.58333333333,-2.36558736244059,0.8424340874654873,0.5978260869565217,0.34492753623188405,0.5397520058351568,184,345,1371,52,4861,13,12,1,2,1,1,0
